Product,Description,Job Level,Language,Assessment Length
Sales Supervisor Solution,"The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships;
and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Sales Manager and Sales Supervisor. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 38
Sales Support Specialist Solution,"The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include, but are not limited to: implementing customer orders, assisting with and coordinating activities, and utilizing processes to meet customer requirements. Potential job titles that use
this solution are: Implementation Specialist, Project Assistant, and Sales Support Assistant. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 43
Senior Insurance Agent Solution,"The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Senior Sales Professional, Senior Producer, Insurance Sales Agent, and Insurance Agent. Multiple configurations of this solution are available.","Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 44
Senior Sales Professional Solution,"The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, consulting with and persuading customers to buy products, and building
ongoing customer relationships. Potential job titles that use this solution are: Senior Sales Representative, Business Development Manager, and Senior Sales Consultant. Multiple configurations of this solution are available.","Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 42
Server Solution,"The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales. Potential job titles that use this solution are: Server and Waiter/Waitress. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 40
Service Associate Solution,"The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms. Potential job titles that use this solution are: Housekeeper, Buffet Server, Room Service Attendant, and Valet. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 38
Service Supervisor Solution,"The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. Front Desk Associate, Concierge, Guest Service Associate). Individuals in these roles perform many of hte duties of the employees they supervise. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Front Desk Manager, Guest Services Supervisor, and Front Desk Supervisor. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 48
Stock Clerk Solution,"The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked.  Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments.  Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 25
Store Manager 7.0 Solution,"Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.Report Language Availability:English (USA), Latin American Spanish.","Front Line Manager, Manager,","English (USA), English International, French (Canada), Latin American Spanish,",Approximate Completion Time in minutes = 34
Store Manager 7.1 (Americas),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Front Line Manager, Manager,","English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada),",Approximate Completion Time in minutes = 34
Teller 7.0,"Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. The Teller Solution contains scales that measure a person’s ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
Teller with Sales - Short Form,"The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to: balancing currency, coin and checks, cashing checks and paying out money, entering customer transactions into computers, and suggestive selling after a customer service interaction.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
Transcriptionist Solution,"The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information.  Sample tasks for these jobs include, but are not limited to: transcribing dictated reports, deciphering medical jargon, and proofing medical reports.  Potential job titles that use this solution are: Medical Transcriptionist, Medical Transcriber, and Documentation Specialist.  Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 33
Workplace Safety - Individual 7.0 Solution,"Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.Report Language Availability:English (USA), Latin American Spanish.","Entry-Level,","German, English International, English (USA), Italian, French, Dutch, French (Canada), Latin American Spanish, Arabic,",Approximate Completion Time in minutes = 16
Workplace Safety - Individual 7.1 (Americas),"Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level,","Portuguese (Brazil), English (USA), French (Canada), Latin American Spanish,",Approximate Completion Time in minutes = 16
Workplace Safety - Team 7.0 Solution,"The Workplace Safety – Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.Report Language Availability:English (USA), Latin American Spanish.","Director,","English International, English (USA), French (Canada), Latin American Spanish,",Approximate Completion Time in minutes = 20
Workplace Safety - Team 7.1 (Americas),"The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,","English (USA), Latin American Spanish, French (Canada),",Approximate Completion Time in minutes = 20
Workplace Safety - Team 7.1 (International),"The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,","English International, Finnish, French, Dutch, Latin American Spanish, Swedish, Portuguese (Brazil), Italian, German, French (Canada), Danish,",Approximate Completion Time in minutes = 20
Workplace Safety Solution,"The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. This solution measures one’s general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. Potential job titles that use this solution are: Material Handler, Shipping Operator, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,","English (USA), English (Australia),",Approximate Completion Time in minutes = 21
